legs,series,n_snapshots,min_leg_volume,max_leg_volume,distinct_costs,cost
KXNCAAMBWINS-26SJU-24 + KXNCAAMBWINS-26SJU-27,,8,6.0,39.91,2,0.92
KXNASDAQ100MINY-26DEC31H1600-T22600.01 + KXNASDAQ100MINY-26DEC31H1600-T22800.01,,5,3918.29,14822.2,2,0.89
USCLIMATE-2025 + USCLIMATE-2030,,4,11596.24,49626.16,3,0.938
KXWTAGTOTAL-26AUG30GIBVEK-18 + KXWTAGTOTAL-26AUG30GIBVEK-23,,1,0.0,0.0,1,0.68
KXWTAGTOTAL-26AUG30RAKKRE-15 + KXWTAGTOTAL-26AUG30RAKKRE-20,,1,0.11,0.11,1,0.55
KXWTAGTOTAL-26AUG30RAKKRE-15 + KXWTAGTOTAL-26AUG30RAKKRE-25,,1,0.0,0.11,1,0.96
